awarding_agency,awarding_sub_agency
Department of Agriculture,Office of the Chief Financial Officer
Department of Agriculture,Agricultural Research Service
Department of Agriculture,Rural Housing Service
Department of Agriculture,Food and Nutrition Service
Department of Agriculture,Forest Service
Department of Agriculture,Agricultural Marketing Service
Department of Agriculture,Food Safety and Inspection Service
Department of Agriculture,Farm Service Agency
Department of Agriculture,Animal and Plant Health Inspection Service
Department of Agriculture,Under Secretary for Farm and Foreign Agricultural Services
Department of Agriculture,Natural Resources Conservation Service
Department of Agriculture,Office of the Inspector General
Department of Defense,Defense Health Agency
Department of Defense,Department of the Navy
Department of Defense,Defense Contract Management Agency
Department of Defense,Department of the Air Force
Department of Defense,Department of the Army
Department of Defense,Missile Defense Agency
Department of Defense,U.S. Special Operations Command
Department of Defense,Defense Logistics Agency
Department of Defense,Defense Microelectronics Activity
Department of Defense,Defense Information Systems Agency
Department of Defense,Defense Counterintelligence and Security Agency
Department of Defense,USTRANSCOM
Department of Defense,Defense Advanced Research Projects Agency
Department of Defense,Washington Headquarters Services
Department of Defense,Defense Finance and Accounting Service
Department of Defense,Defense Threat Reduction Agency
Department of Energy,Department of Energy
Department of Energy,Federal Energy Regulatory Commission
Department of Health and Human Services,Centers for Medicare and Medicaid Services
Department of Health and Human Services,National Institutes of Health
Department of Health and Human Services,Administration for Children and Families
Department of Health and Human Services,Office of Assistant Secretary for Preparedness and Response
Department of Health and Human Services,Centers for Disease Control and Prevention
Department of Health and Human Services,Office of the Assistant Secretary for Administration
Department of Health and Human Services,Food and Drug Administration
Department of Health and Human Services,Health Resources and Services Administration
Department of Health and Human Services,Substance Abuse and Mental Health Services Administration
Department of Health and Human Services,Agency for Healthcare Research and Quality
Department of Health and Human Services,Indian Health Service
Department of Health and Human Services,Office of the Inspector General
Department of Homeland Security,U.S. Coast Guard
Department of Homeland Security,Federal Law Enforcement Training Center
Department of Homeland Security,Transportation Security Administration
Department of Homeland Security,U.S. Immigration and Customs Enforcement
Department of Homeland Security,U.S. Customs and Border Protection
Department of Homeland Security,Office of Procurement Operations
Department of Homeland Security,Federal Emergency Management Agency
Department of Homeland Security,U.S. Citizenship and Immigration Services
Department of Homeland Security,Office of the Inspector General
Department of Homeland Security,U.S. Secret Service
Department of Transportation,Federal Aviation Administration
Department of Transportation,Maritime Administration
Department of Transportation,Federal Highway Administration
Department of Transportation,Immediate Office of the Secretary of Transportation
Department of Transportation,Federal Motor Carrier Safety Administration
Department of Transportation,National Highway Traffic Safety Administration
Department of Transportation,Federal Railroad Administration
Department of Transportation,Federal Transit Administration
Department of Transportation,Pipeline and Hazardous Materials Safety Administration
Department of Transportation,Saint Lawrence Seaway Development Corporation
Department of Veterans Affairs,Department of Veterans Affairs
General Services Administration,Federal Acquisition Service
General Services Administration,Public Buildings Service
General Services Administration,Office of Administrative Services
